,sentiment,content
0,empty,mention know listen bad habit earlier start freak part
1,sadness,latin n bed headache ahh wait call
2,sadness,finer ceremony gloom friday
3,enthusiasm,want hang friend soon
4,neutral,mention want trade someone houston ticket one
5,worry,ping mention go prom bc bf like friend
6,sadness,sleep im think old friend want marry damn amp want scandal
7,worry,hmm
8,sadness,mention charles love miss
9,sadness,mention sorry least friday
10,neutral,cant fall asleep
11,worry,choke retain
12,sadness,ugh beat stupid song get next rude
13,sadness,mention watch hill london realise torture week week late watch itonlinelol
14,surprise,got news
15,sadness,storm elect gone
16,love,mention are
17,sadness,sleep even late fail
18,worry,mention lady gaga tweeter impress video leak know
19,sadness,convince always want signal give damn think lost noth friend
20,worry,mention oh bad hope get better sleep issue late
21,fun,wonder away write new song plot evil secret plot muahahaha oh damn secret anymore
22,neutral,topic map talk palisade markup confer program online via mention
23,worry,ate cometh know keep tell thing food
24,sadness,tire think deficit go get ear infect go bed early
25,worry,way home n deal w underage girl drink gin da bu talk bout merger damn feel old
26,sadness,mention sorry people rude isaac get manner know better lewd
27,worry,damn server still need hit cooper pas
28,sadness,fudge b whole paper tire ugh hate school time sleep
29,worry,hate cancer hate hate hate
30,hate,annoy start type compute middle night
31,neutral,mention cant sleep
32,neutral,miss ali bu
33,neutral,feel strong contract want go
34,neutral,local stoke may tomorrow
35,neutral,screw mention week
36,sadness,mention yeah feel funny cause slept enough woke mum cause sing impress
37,worry,need scott right
38,neutral,work afternoon
39,neutral,mention aw would follow would would cri
40,happiness,mm much better day far still quit early last day
41,fun,mention love gonna first twitter wink cause amaze laugh loud come canada would anth see perform
42,worry,pick blackberry middle street crush
43,worry,feel pack hit sfo around time year think miss cometh
44,empty,mention middle school elm high school remain open need credit graduate cali broken
45,worry,bed time hope go school tomorrow though feel well right
46,worry,mention ahh well hope could learn stuff way work spear thing also
47,sadness,problem photo twitter see face
48,neutral,mention oh noon blow tire really go send batman smoke
49,neutral,anna take bath
50,neutral,school milk much better straw lack said straw
51,worry,tire
52,empty,mention hey yu lil fucker text yu
53,neutral,mention time diff wrap day day stuff havent sweet talk soon must sleep hr
54,neutral,mention way damn suck b ok
55,worry,suck all take day work money take trip sad
56,enthusiasm,bed sorta today good sara step thought angelina share water told prob get
57,neutral,mention recess hotel restructure account done add bit pressure short term cope
58,neutral,mention got die sulu
59,sadness,mention aww onward upward yay still sad leave bet
60,worry,mention aha poor abi still get sore
61,sadness,diesel pari mpg sad avail u awesome
62,sadness,want buy great album unfortun dont hav enuff fund long time noise
63,sadness,mention honest pain beech
64,sadness,ok passing one alive dead know til end cri
65,neutral,home alon much
66,worry,mention ia much really happy cook choice single
67,sadness,mention mention fell asleep beach put enough sunscreen laugh loud
68,worry,think son might flu cause def clean stank puke mess poor pumpkin
69,happiness,great see amp cynthia happy dinner great cute little place bad got sick afterward
70,neutral,cant give mention day nude
71,worry,woman transfer first impress sexual mater onto le threaten man weak
72,neutral,brother bloom open weekend el paso buy brick enjoy watch brother bloom
73,neutral,say miss lurk
74,worry,bitten blood cat way rabi bacteria seem shot month never wash cat home hate water
75,neutral,miss boob
76,neutral,mention neither help
77,happiness,mention dude favorite sandwich place ever mm take picture
78,worry,sad shin ae got marry alex
79,worry,mention sure tweet back news buzz tr knight leave confirm today muy trist
80,sadness,mention ohh thursday exam day wednesday
81,neutral,mix dentist apt afternoon reschedule tomorrow
82,sadness,mention mention think exit guy move realize sad see go
83,worry,goodwood morn people sun deficit spring first spring hail storm car dimple
84,sadness,mention love sake usb stick gb australia
85,worry,fresh prince sleep sleep nightly routine gotta go dm early trw
86,hate,dammit hull desktop total screw bail talk particular port one dev server watch code
87,worry,mention jealous mom talk mention want see twitter make miss
88,worry,sleep keep think puppy play today
89,worry,suppose sleep got much amp got one part song stuck head jerk know blah
90,neutral,mention go sweetheart
91,neutral,freak difficult get system wide spellchecker shit settle office suit one stupid help window
92,worry,last one month due summer strawberry avail henna market
93,neutral,mention work gotta go bed soon
94,love,mention correct adore pluck put arm cut cri better sahara
95,sadness,mention ii im pod cant fall asleep
96,sadness,dont wanna work tomorrow get paid
97,sadness,feel sad coz wasnt all play guy
98,neutral,princecharm
99,hate,yogi want come summer sure anymore teacher life summer suck
100,worry,first ever drop call mobil call mention le charge data even though data pack
101,hate,mention win sigh rake
102,neutral,oh time real
103,sadness,darn allergic like time year never use problem either
104,worry,oh one minute late oh well
105,hate,mention damn suck
106,sadness,mention want come summer sure anymore teacher life summer suck
107,hate,mention webster gave virus open window kept pop
108,worry,ahh big scarf bug fly around room
109,sadness,wish knew put stole heart never gave back occasion like like look
